B103-007,B103,rma287,2018-09-06 11:22 AM,2018-09-06 12:46 PM,4984,4984,2018-09-06,11:22:00 AM,Thursday,
B162-022,B162,jcrnk890,2018-09-06 11:23 AM,2018-09-06 11:58 AM,2092,2092,2018-09-06,11:23:00 AM,Thursday,
B162-017,B162,gsaig971,2018-09-06 11:23 AM,2018-09-06 11:58 AM,2053,2053,2018-09-06,11:23:00 AM,Thursday,
B162-005,B162,cmarx773,2018-09-06 11:26 AM,2018-09-06 11:47 AM,1272,1272,2018-09-06,11:26:00 AM,Thursday,
B162-007,B162,Dwill087,2018-09-06 11:26 AM,2018-09-06 11:47 AM,1262,1262,2018-09-06,11:26:00 AM,Thursday,
B162-018,B162,ckoiv936,2018-09-06 11:29 AM,2018-09-06 11:41 AM,711,711,2018-09-06,11:29:00 AM,Thursday,
B162-011,B162,jlong019,2018-09-06 11:30 AM,2018-09-06 11:45 AM,922,922,2018-09-06,11:30:00 AM,Thursday,
B103-012,B103,csolt654,2018-09-06 11:36 AM,2018-09-06 12:15 PM,2321,2321,2018-09-06,11:36:00 AM,Thursday,
B103-010,B103,mwalk762,2018-09-06 11:38 AM,2018-09-06 02:29 PM,10256,10256,2018-09-06,11:38:00 AM,Thursday,
B107-011,B107,zwood775,2018-09-06 11:39 AM,2018-09-06 11:57 AM,1042,1042,2018-09-06,11:39:00 AM,Thursday,
B162-003,B162,karne520,2018-09-06 12:15 PM,2018-09-06 01:23 PM,4095,4095,2018-09-06,12:15:00 PM,Thursday,
B162-004,B162,bsimo706,2018-09-06 12:19 PM,2018-09-06 01:22 PM,3794,3794,2018-09-06,12:19:00 PM,Thursday,
B162-007,B162,amack894,2018-09-06 12:23 PM,2018-09-06 01:23 PM,3593,3593,2018-09-06,12:23:00 PM,Thursday,
B162-009,B162,lluss039,2018-09-06 12:26 PM,2018-09-06 01:23 PM,3423,3423,2018-09-06,12:26:00 PM,Thursday,
B162-011,B162,mhass578,2018-09-06 12:27 PM,2018-09-06 01:23 PM,3384,3384,2018-09-06,12:27:00 PM,Thursday,
B162-012,B162,rsidh490,2018-09-06 12:27 PM,2018-09-06 01:23 PM,3383,3383,2018-09-06,12:27:00 PM,Thursday,
B162-008,B162,shoan584,2018-09-06 12:28 PM,2018-09-06 01:27 PM,3523,3523,2018-09-06,12:28:00 PM,Thursday,
B162-013,B162,phoon453,2018-09-06 12:29 PM,2018-09-06 01:23 PM,3264,3264,2018-09-06,12:29:00 PM,Thursday,
B162-016,B162,cjone7231,2018-09-06 12:29 PM,2018-09-06 01:23 PM,3235,3235,2018-09-06,12:29:00 PM,Thursday,
B215-003,B215,nmeyn848,2018-09-06 12:31 PM,2018-09-06 12:51 PM,1221,1221,2018-09-06,12:31:00 PM,Thursday,
B162-001,B162,pneha297,2018-09-06 12:40 PM,2018-09-06 01:24 PM,2612,2612,2018-09-06,12:40:00 PM,Thursday,
B162-017,B162,wratu261,2018-09-06 12:48 PM,2018-09-06 01:22 PM,2082,2082,2018-09-06,12:48:00 PM,Thursday,
B103-004,B103,ajama423,2018-09-06 12:48 PM,2018-09-06 01:03 PM,931,931,2018-09-06,12:48:00 PM,Thursday,
B103-001,B103,rgoyh021,2018-09-06 12:48 PM,2018-09-06 12:54 PM,360,360,2018-09-06,12:48:00 PM,Thursday,
B103-006,B103,sosma464,2018-09-06 12:57 PM,2018-09-06 01:10 PM,761,761,2018-09-06,12:57:00 PM,Thursday,
B162-019,B162,aprem125,2018-09-06 01:22 PM,2018-09-06 02:20 PM,3474,3474,2018-09-06,1:22:00 PM,Thursday,
B162-009,B162,tamy259,2018-09-06 01:25 PM,2018-09-06 02:21 PM,3353,3353,2018-09-06,1:25:00 PM,Thursday,
B162-007,B162,mfudg395,2018-09-06 01:25 PM,2018-09-06 02:20 PM,3313,3313,2018-09-06,1:25:00 PM,Thursday,
B162-003,B162,dlam071,2018-09-06 01:25 PM,2018-09-06 02:20 PM,3313,3313,2018-09-06,1:25:00 PM,Thursday,
B162-020,B162,mbean414,2018-09-06 01:26 PM,2018-09-06 02:21 PM,3283,3283,2018-09-06,1:26:00 PM,Thursday,
B162-012,B162,szaid002,2018-09-06 01:27 PM,2018-09-06 02:21 PM,3224,3224,2018-09-06,1:27:00 PM,Thursday,
B162-018,B162,mlee950,2018-09-06 01:28 PM,2018-09-06 02:20 PM,3123,3123,2018-09-06,1:28:00 PM,Thursday,
B162-001,B162,aco115,2018-09-06 01:28 PM,2018-09-06 02:20 PM,3112,3112,2018-09-06,1:28:00 PM,Thursday,
B162-022,B162,halna399,2018-09-06 01:28 PM,2018-09-06 02:24 PM,3343,3343,2018-09-06,1:28:00 PM,Thursday,
B162-016,B162,cpato811,2018-09-06 01:29 PM,2018-09-06 02:20 PM,3093,3093,2018-09-06,1:29:00 PM,Thursday,
B162-002,B162,jsidh412,2018-09-06 01:29 PM,2018-09-06 02:20 PM,3093,3093,2018-09-06,1:29:00 PM,Thursday,
B162-023,B162,gebon718,2018-09-06 01:29 PM,2018-09-06 02:20 PM,3093,3093,2018-09-06,1:29:00 PM,Thursday,
B162-013,B162,frash412,2018-09-06 01:29 PM,2018-09-06 02:20 PM,3074,3074,2018-09-06,1:29:00 PM,Thursday,
B162-028,B162,rradm367,2018-09-06 01:29 PM,2018-09-06 02:20 PM,3072,3072,2018-09-06,1:29:00 PM,Thursday,
B162-017,B162,cluu375,2018-09-06 01:29 PM,2018-09-06 02:20 PM,3064,3064,2018-09-06,1:29:00 PM,Thursday,
B162-027,B162,hamid269,2018-09-06 01:30 PM,2018-09-06 02:20 PM,3004,3004,2018-09-06,1:30:00 PM,Thursday,
B162-011,B162,npala043,2018-09-06 01:35 PM,2018-09-06 02:20 PM,2733,2733,2018-09-06,1:35:00 PM,Thursday,
B162-021,B162,cviss600,2018-09-06 01:39 PM,2018-09-06 02:21 PM,2512,2512,2018-09-06,1:39:00 PM,Thursday,
B103-011,B103,klam260,2018-09-06 01:46 PM,2018-09-06 02:22 PM,2172,2172,2018-09-06,1:46:00 PM,Thursday,
B103-012,B103,csolt654,2018-09-06 01:56 PM,2018-09-06 02:05 PM,540,540,2018-09-06,1:56:00 PM,Thursday,
B107-011,B107,mirvi948,2018-09-06 01:59 PM,2018-09-06 02:13 PM,851,851,2018-09-06,1:59:00 PM,Thursday,
B103-007,B103,knguy555,2018-09-06 02:10 PM,2018-09-06 02:14 PM,270,270,2018-09-06,2:10:00 PM,Thursday,
B103-012,B103,csolt654,2018-09-06 02:12 PM,2018-09-06 02:22 PM,621,621,2018-09-06,2:12:00 PM,Thursday,
B103-009,B103,mwalk762,2018-09-06 03:32 PM,2018-09-06 05:19 PM,6374,6374,2018-09-06,3:32:00 PM,Thursday,
B107-006,B107,mirvi948,2018-09-06 03:55 PM,2018-09-06 03:56 PM,90,90,2018-09-06,3:55:00 PM,Thursday,
B107-005,B107,mirvi948,2018-09-06 04:01 PM,2018-09-06 04:05 PM,220,220,2018-09-06,4:01:00 PM,Thursday,
B103-001,B103,seise389,2018-09-06 04:08 PM,2018-09-06 04:33 PM,1502,1502,2018-09-06,4:08:00 PM,Thursday,
B103-024,B103,jprzy435,2018-09-06 04:19 PM,2018-09-06 04:41 PM,1332,1332,2018-09-06,4:19:00 PM,Thursday,
B107-011,B107,ssmil733,2018-09-06 05:26 PM,2018-09-06 05:32 PM,360,360,2018-09-06,5:26:00 PM,Thursday,
B103-010,B103,mwalk762,2018-09-07 08:04 AM,2018-09-07 08:45 AM,2483,2483,2018-09-07,8:04:00 AM,Friday,
B103-019,B103,jberg475,2018-09-07 09:13 AM,2018-09-07 09:55 AM,2492,2492,2018-09-07,9:13:00 AM,Friday,
B103-011,B103,rmart188,2018-09-07 09:34 AM,2018-09-07 09:47 AM,801,801,2018-09-07,9:34:00 AM,Friday,
B107-011,B107,ssmil733,2018-09-07 09:50 AM,2018-09-07 10:08 AM,1051,1051,2018-09-07,9:50:00 AM,Friday,
B162-016,B162,mwalk762,2018-09-07 09:53 AM,2018-09-07 10:32 AM,2371,2371,2018-09-07,9:53:00 AM,Friday,
B103-002,B103,rmart188,2018-09-07 10:17 AM,2018-09-07 10:49 AM,1921,1921,2018-09-07,10:17:00 AM,Friday,
B162-003,B162,dcoll657,2018-09-07 11:21 AM,2018-09-07 01:01 PM,5982,5982,2018-09-07,11:21:00 AM,Friday,
B162-016,B162,mwalk762,2018-09-07 11:26 AM,2018-09-07 02:23 PM,10610,10610,2018-09-07,11:26:00 AM,Friday,
B107-008,B107,jdyck906,2018-09-07 11:28 AM,2018-09-07 11:38 AM,621,621,2018-09-07,11:28:00 AM,Friday,
B103-007,B103,hpang446,2018-09-07 12:11 PM,2018-09-07 02:25 PM,8024,8024,2018-09-07,12:11:00 PM,Friday,
B103-019,B103,zwood775,2018-09-07 12:49 PM,2018-09-07 02:11 PM,4933,4933,2018-09-07,12:49:00 PM,Friday,
B215-004,B215,JRuiz277,2018-09-07 01:03 PM,2018-09-07 02:11 PM,4061,4061,2018-09-07,1:03:00 PM,Friday,
B103-002,B103,seise389,2018-09-07 01:14 PM,2018-09-07 01:40 PM,1601,1601,2018-09-07,1:14:00 PM,Friday,
B162-023,B162,Xmeji064,2018-09-07 01:18 PM,2018-09-07 01:34 PM,991,991,2018-09-07,1:18:00 PM,Friday,
B107-006,B107,sebel603,2018-09-07 01:28 PM,2018-09-07 02:24 PM,3372,3372,2018-09-07,1:28:00 PM,Friday,
B103-004,B103,klam260,2018-09-07 01:34 PM,2018-09-07 01:55 PM,1251,1251,2018-09-07,1:34:00 PM,Friday,
B173-007,B173,gchan301,2018-09-07 01:56 PM,2018-09-07 04:21 PM,8689,8689,2018-09-07,1:56:00 PM,Friday,
B107-010,B107,jwalk457,2018-09-07 02:01 PM,2018-09-07 02:03 PM,90,90,2018-09-07,2:01:00 PM,Friday,
