B103 - MONDAY - 2018.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week,00:00 - 00:29,00:30 - 00:59,01:00 - 01:29,01:30 - 01:59,02:00 - 02:29,02:30 - 02:59,03:00 - 03:29,03:30 - 03:59,04:00 - 04:29,04:30 - 04:59,05:00 - 05:29,05:30 - 05:59,06:00 - 06:29,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29,18:30 - 18:59,19:00 - 19:29,19:30 - 19:59,20:00 - 20:29,20:30 - 20:59,21:00 - 21:29,21:30 - 21:59,22:00 - 22:29,22:30 - 22:59,23:00 - 23:29,23:30 - 23:59
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,67,83,45,44,69,58,75,227,190,192,207,124,133,358,196,73,15,8,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,20,5,29,58,145,169,241,319,220,96,65,87,51,58,60,29,29,25,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,44,54,85,77,215,233,261,230,286,199,137,186,233,165,116,64,58,57,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,29,29,29,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,36,23,29,27,32,29,35,113,168,96,29,70,178,189,152,116,116,99,91,87,88,29,29,4,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,11,19,41,66,103,70,136,168,217,334,295,275,70,92,271,232,189,163,165,175,150,145,145,145,145,145,106,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,68,94,95,144,129,134,158,217,341,317,301,80,99,253,197,176,173,124,104,135,107,87,102,156,177,162,87,80,25,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,85,58,76,71,140,191,184,216,221,240,295,263,236,65,115,186,210,224,203,142,110,71,50,29,36,58,28,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,54,57,128,145,111,126,235,297,275,242,200,135,88,132,66,44,29,52,44,29,29,5,0,0,0,0,0,0,0,0
